"Rank","NCT Number","Title","Status","Study Results","Conditions","Interventions","Sponsor/Collaborators","Study Type","Locations","Study Documents","URL"
3997,"NCT04324463","Anti-Coronavirus Therapies to Prevent Progression of Coronavirus Disease 2019 (COVID-19) Trial","Recruiting","No Results Available","Coronavirus|Severe Acute Respiratory Syndrome","Drug: Colchicine|Drug: Interferon-Beta|Drug: Aspirin|Drug: Rivaroxaban","Population Health Research Institute|Bayer","Interventional","Prodal Saude S/A, Salvador, BA, Brazil|Hospital das Clinicas de Vitoria (Hospital Universitario Cassiano Antonio Moraes), Vitoria, ES, Brazil|Hospital das Clinicas da Universidade Federal de Goias, Goiania, GO, Brazil|Ubermed Serviços em Saúde Eireli - Hospital São Domingos, Uberaba, MG, Brazil|Hospital de Clínicas da Universidade Federal de Uberlândia, Uberlândia, MG, Brazil|Hospital Universitario Julio Muller, Cuiabá, Mount, Brazil|Hospital Universitario da UFPI - Filial EBSERH, Teresina, PI, Brazil|Hospital Universitario Gaffree e Guinle, Rio de Janeiro, RJ, Brazil|Hospital Universitario Prof. Dr. Horacio Carlos Panepucci da Universidade Federal de Sao Carlos (HU-UFSCar), São Carlos, SP, Brazil|Hospital Alemão Oswaldo Cruz, São Paulo, SP, Brazil|Hospital de Doencas Tropicais - HDT/UFT, Araguaina, TO, Brazil|Hamilton Health Sciences, Hamilton, Ontario, Canada|London Health Sciences Centre, London, Ontario, Canada|CIUSSS de L'est-de-l'ile de Montreal, Hopital Maisonneuve-Rosemont, Montreal, Ontario, Canada|Southlake Regional Health Centre, Newmarket, Ontario, Canada|Halton Healthcare/Oakville Trafalgar Memorial Hospital, Oakville, Ontario, Canada|Niagara Health System-St. Catharine's, St. Catharines, Ontario, Canada|Toronto Western Hospital Family Health Team, Toronto, Ontario, Canada|Windsor Regional Hospital, Windsor, Ontario, Canada|Woodstock Hospital, Woodstock, Ontario, Canada|Estudios Clinicos Barros Luco Spa, Santiago, Region Metropolitana, Chile|Hospital El Pino, Santiago, Region Metropolitana, Chile|Biomelab SAS, Barranquilla, Atlantico, Colombia|Clinica de la Costa LTDA, Barranquilla, Atlantico, Colombia|Hospital Universidad del Norte, Barranquilla, Atlantico, Colombia|Centro de Diagnostico Cardiologico, Cartagena, Bolivar, Colombia|Clinica de Marly - Sede UniMarly, Bogota, Cundinamarca, Colombia|Fundacion Cometa, Pasto, Narino, Colombia|Fundacion Cardiomet CEQUIN, Armenia, Quindio, Colombia|Fundacion Oftalmologica de Santander - FOSCAL, Bucaramanga, Santander, Colombia|Fundacion Centro de Investigaciones Biomedicas Riescard, El Espinal, Tolima, Colombia|Clinica Internacional La Misericordia, Barranquilla, Colombia|Unicormed, Guayaquil, Guayas, Ecuador|Hospital de Especialidades Eugenio Espejo, Quito, Pichincha, Ecuador|Hospital Enrique Garces, Quito, Pichincha, Ecuador|Hospital General Docente de Calderon, Quito, Pichincha, Ecuador|Hospital General Pablo Arturo Suarez, Quito, Pichincha, Ecuador|Giza Chest Hospital, Giza, Cairo, Egypt|Al Rajhi University Hospital, Assiut, Egypt|Abbasia Chest Hospital, Cairo, Egypt|Abbasia Fever Hospital, Cairo, Egypt|National Hepatology and Tropical Medicine Research Institute, Cairo, Egypt|Fayoum General Hospital, Fayoum, Egypt|Fayoum University Hospital, Fayoum, Egypt|CIMS Hospital, Ahmedabad, Gujarat, India|City Plus Hospital, Ahmedabad, Gujarat, India|Sanjivani Hospital, Ahmedabad, Gujarat, India|GMERS Medical College & Hospital, Vadodara, Gujarat, India|Post Graduate Institute of Medical Sciences (PGIMS), Rohtak, Haryana, India|Mazumdar Shaw Medical Centre a Unit of Narayana, Bangalore, Karnataka, India|Bharathi Hospital and Research Center, Pune, Maharashtra, India|Sidhu Hospital Pvt.Ltd, Doraha, Punjab, India|Vijaya Medical & Educational Trust, Chennai, Tamil Nadu, India|SRM Institute of Science and Technology, Kattankulathur, Tamil Nadu, India|AIG Hospital, Hyderabad, Telangana, India|KIMS, Hyderabad, Telangana, India|Mahavir Hospital & Research Centre, Hyderabad, Telangana, India|Jinnah Postgraduate Medical Center, Karachi, Pakistan|Tabba Heart Institute, Karachi, Pakistan|Philippine General Hospital, Manila, Metro Manila, Philippines|Altai Regional Center for Medical Prevention, Barnaul, Russian Federation|Altai Regional Hospital for War Veterans, Barnaul, Russian Federation|City Clinical Hospital No. 15 named after O.M. Filatova, Moscow, Russian Federation|National Medical Research Center for Therapy and Preventive Medicine, Moscow, Russian Federation|City Clinical Hospital No. 10, Nizhny Novgorod, Russian Federation|City Clinical Hospital No. 3, Nizhny Novgorod, Russian Federation|Rostov State Medical University, Rostov-on-Don, Russian Federation|King Saud Medical City, Riyadh, Saudi Arabia|Thumbay Hospital Dubai, Al Qusais, Dubai, United Arab Emirates|Hatta Hospital, Hatta, Dubai, United Arab Emirates|Rashid Hospital, Dubai Health Authority, Umm Hurair, Dubai, United Arab Emirates",,"https://ClinicalTrials.gov/show/NCT04324463"
3998,"NCT04370210","Sleep Quality During COVID-19 Containment in Children Whether or Not Usually Followed in Child Psychiatry","Completed","No Results Available","Sleep Disturbance","Behavioral: Questionnaires","Centre Hospitalier René Dubos","Observational","Centre Hospitalier René Dubos, Pontoise, France",,"https://ClinicalTrials.gov/show/NCT04370210"
3999,"NCT04374097","Level and Predictors of Trauma-symptoms Among Health Workers and Public Service Providers During the COVID-19 Outbreak","Completed","No Results Available","Post Traumatic Stress Disorder|Anxiety|Depression",,"University of Oslo|Modum Bad Psychiatric Center","Observational","University of Oslo, Oslo, Norway",,"https://ClinicalTrials.gov/show/NCT04374097"
4000,"NCT04631666","COVID-19 - Administration of the SARS-CoV-2-Neutralizing Monoclonal Antibody DZIF-10c (Infusion)","Not yet recruiting","No Results Available","SARS-CoV Infection","Biological: human monoclonal antibody DZIF-10c (Group 1A-2D)|Other: Placebo (NaCl 0.9%) (Group 2D)","University of Cologne|ZKS Köln|Boehringer Ingelheim","Interventional",,,"https://ClinicalTrials.gov/show/NCT04631666"
4001,"NCT04371848","Impact of the COVID-19 Pandemic on Diet Quality and Food Insecurity: a NutriQuébec Sub-study","Active, not recruiting","No Results Available","Eating Habits",,"Laval University","Observational","Université Laval, Québec, Canada",,"https://ClinicalTrials.gov/show/NCT04371848"
4002,"NCT04631705","COVID-19 - Administration of the SARS-CoV-2-Neutralizing Monoclonal Antibody DZIF-10c (Inhalation)","Not yet recruiting","No Results Available","SARS-CoV Infection","Biological: human monoclonal antibody DZIF-10c (Group 1A-2D)|Other: Placebo (NaCl 0.9%) (Group 2D)","University of Cologne|The Clinical Trials Centre Cologne|Boehringer Ingelheim","Interventional",,,"https://ClinicalTrials.gov/show/NCT04631705"
4003,"NCT04435327","Lung Damage Caused by SARS-CoV-2 Pneumonia (COVID-19)","Recruiting","No Results Available","COVID|Pneumonia, Viral|Barotrauma|Interstitial Lung Disease|Bronchiectasis Adult|Emphysema",,"University of Milano Bicocca","Observational","San Gerardo Hospital, Monza, MB, Italy",,"https://ClinicalTrials.gov/show/NCT04435327"
4004,"NCT04427631","Exploring Interventions for Glue Ear During Covid-19","Not yet recruiting","No Results Available","Hearing Impaired Children|Glue Ear|Hearing Loss, Conductive","Device: Bone conduction headphones","Cambridgeshire Community Services NHS Trust|Cambridge University Hospitals NHS Foundation Trust","Interventional","Peacock Children's centre. Brookfields Hospital, Cambridge, Cambridgeshire, United Kingdom",,"https://ClinicalTrials.gov/show/NCT04427631"
4005,"NCT04363593","Serology COVID-19 From the Cornwall Hospital Union","Completed","No Results Available","Corona Virus Infection","Biological: Serological test|Biological: Serum test","Centre Hospitalier de Cornouaille|Centre Hospitalier Régional et Universitaire de Brest","Interventional","CH de Cornouaille, Quimper, France",,"https://ClinicalTrials.gov/show/NCT04363593"
4006,"NCT04377074","Parental Stress During the COVID-19 Pandemic and Its Association With Depression and Anxiety","Completed","No Results Available","Parental Stress|Depression|Anxiety",,"University of Oslo|Modum Bad Psychiatric Center|Oslo Metropolitan University|University of Bergen","Observational","University of Oslo, Oslo, Norway",,"https://ClinicalTrials.gov/show/NCT04377074"
4007,"NCT04542122","Moral Judgements and Choices of Caregivers in the Time of COVID-19 Pandemic","Not yet recruiting","No Results Available","Morals","Behavioral: Choices and judgements","University Hospital, Caen|University of Geneva, Switzerland","Interventional",,,"https://ClinicalTrials.gov/show/NCT04542122"
4008,"NCT04377672","Human Convalescent Plasma for High Risk Children Exposed or Infected With SARS-CoV-2 (COVID-19)","Recruiting","No Results Available","Corona Virus Infection","Biological: Anti-SARS-CoV-2 Human Convalescent Plasma","Johns Hopkins University","Interventional","Johns Hopkins Hospitals, Baltimore, Maryland, United States",,"https://ClinicalTrials.gov/show/NCT04377672"
4009,"NCT04693052","Attitudes Towards Receiving Mental Health Care Using Telehealth During the COVID-19 Pandemic","Enrolling by invitation","No Results Available","Psychiatric Disorder|Mental Health Disorder|Stress|Adjustment Disorders","Other: No interventions","Northwestern University","Observational","Feinberg School of Medicine, Chicago, Illinois, United States",,"https://ClinicalTrials.gov/show/NCT04693052"
4010,"NCT04433286","COVID-19 - Implications on Surgeons' Burnout and Career Satisfaction","Not yet recruiting","No Results Available","Physical Stress|Career Burnout|Satisfaction","Other: Questionnaire","Mansoura University","Observational","Faculty of Medicine Mansoura University, Mansoura, Egypt",,"https://ClinicalTrials.gov/show/NCT04433286"
4011,"NCT04370938","Provider Burnout During COVID-19","Withdrawn","No Results Available","Perceived Organizational Support, Anxiety, Burnout","Behavioral: Coping strategies video","University of Pittsburgh","Interventional","UPMC, Pittsburgh, Pennsylvania, United States",,"https://ClinicalTrials.gov/show/NCT04370938"
4012,"NCT04418609","Neuro-COVID-19: Neurological Complications of COVID-19","Recruiting","No Results Available","Neurologic Complication","Other: further processing of health data","Emanuela Keller|University of Zurich","Observational","University Hospital Zurich, Zürich, Switzerland",,"https://ClinicalTrials.gov/show/NCT04418609"
4013,"NCT04361019","Physical Activity in University Students Around COVID-19 Confinement","Recruiting","No Results Available","Physical Activity","Other: On-Line Survey","Basque Country University|University of Cadiz|University of Extremadura|Universidad de Zaragoza|Universidad de Granada|University of Castilla-La Mancha|University of Las Palmas de Gran Canaria|Universidad de León|University of Seville|University of Valencia|Universidad Miguel Hernandez de Elche|Technical University of Madrid|Universidad Pública de Navarra|University of the Balearic Islands|Universitat Jaume I|University of Cantabria","Observational","Basque Country University (UPV-EHU),, Bilbao, Bizkaia, Spain",,"https://ClinicalTrials.gov/show/NCT04361019"
4014,"NCT04736680","Pediatric Virtual Visits as a Strategy for Access to Care During the COVID-19 Pandemic in a Pediatric Hospital","Not yet recruiting","No Results Available","Telehealth",,"Hospital General de Niños Pedro de Elizalde","Observational",,,"https://ClinicalTrials.gov/show/NCT04736680"
4015,"NCT04381000","Quarantine and Telerehabilitation in Chronic Pain Patients During COVID-19 Pandemic.","Completed","No Results Available","Chronic Pain","Other: Exercise Group","Clinical Exercise Physiology and Rehabilitation Reasearch Laboratory|University of Thessaly","Interventional","Clinical Exercise Physiology and Rehabilitation Laboratory, Lamia, Sterea Ellada, Greece",,"https://ClinicalTrials.gov/show/NCT04381000"
4016,"NCT04368975","ARDS Caused by COVID-19","Recruiting","No Results Available","Acute Respiratory Failure With Hypoxia",,"Hospital Clinic of Barcelona|Ubikare company","Observational","Ricard Mellado, Barcelona, Spain",,"https://ClinicalTrials.gov/show/NCT04368975"
4017,"NCT04563065","Active Pregnancy Against COVID-19","Recruiting","No Results Available","Pregnancy Complications|Pregnancy, High Risk|Pregnancy Induced Hypertension|Newborn Morbidity|Fetal Growth Retardation|Fetus Disorder|Weight Gain, Maternal|Maternal-Fetal Relations","Other: Exercise program|Other: Healthy lifestyle advise","Universidad Politecnica de Madrid|Hospital Severo Ochoa|Puerta de Hierro University Hospital|Hospital Vall d'Hebron|Hospital Universitario de Torrejón de Ardoz|Clínica Zuatzu de San Sebastián","Interventional","Facultad de Ciencias de la Actividad Física y el Deporte (INEF), Madrid, Spain|Facultad de Ciencias de la Actividad Física y el Deporte - INEF, Madrid, Spain",,"https://ClinicalTrials.gov/show/NCT04563065"
4018,"NCT04474080","Reducing Burnout Among Frontline Healthcare Workers During COVID-19","Not yet recruiting","No Results Available","Burnout","Behavioral: Virtual Peer Support Platform|Behavioral: Control Period","St. Joseph's Healthcare Hamilton","Interventional","St. Joseph's Healthcare Hamilton, Hamilton, Ontario, Canada",,"https://ClinicalTrials.gov/show/NCT04474080"
4019,"NCT04686409","App-based Symptom Tracking After Corona Vaccination (CoCoV)","Not yet recruiting","No Results Available","Adverse Events in COVID-19 Vaccination","Biological: COVID-19 vaccines","University of Ulm","Observational","Universitätsklinikum Ulm, Ulm, Germany",,"https://ClinicalTrials.gov/show/NCT04686409"
4020,"NCT04389320","Antimalarial and Covid 19 in Rheumatoid Arthritis","Completed","No Results Available","Rheumatoid Arthritis","Drug: Hydroxychloroquine","Assiut University","Observational","Manal Hassanien, Assiut, Yes, Egypt",,"https://ClinicalTrials.gov/show/NCT04389320"
4021,"NCT04340219","Oncology-patient-reported Anxiety, Mood, and QoL During the COVID-19 Pandemic","Completed","No Results Available","Cancer","Other: Survey administration","University Hospital, Ghent","Observational","University Hospital Gent, Gent, Belgium",,"https://ClinicalTrials.gov/show/NCT04340219"
4022,"NCT04497415","The COVID-19 and Healthcare Workers: An Active Intervention","Recruiting","No Results Available","Brief Video-based Intervention|Non Intervention Control","Other: Video-Based intervention","Research Foundation for Mental Hygiene, Inc.","Interventional","New York State Psychiatric Institute, New York, New York, United States",,"https://ClinicalTrials.gov/show/NCT04497415"
4023,"NCT04715815","COVID-19 and Its Effects on Chronic Pain Patients","Not yet recruiting","No Results Available","Chronic Pain","Other: No intervention (only interview)","Prince of Songkla University","Observational",,,"https://ClinicalTrials.gov/show/NCT04715815"
4024,"NCT04723576","Mental and Physical Well-Being of Frontline Health Care Workers During Coronavirus Disease 2019 (COVID-19)","Recruiting","No Results Available","Healthy","Behavioral: Stress First Aid","RAND|Stanford University|Clinical Directors Network|Vizient","Interventional","Clinical Directors Network, Inc, New York, New York, United States|Vizient Inc., Irving, Texas, United States",,"https://ClinicalTrials.gov/show/NCT04723576"
4025,"NCT04484207","Addressing COVID-19 Mental Health Problems Among US Veterans","Recruiting","No Results Available","Brief Video-based Intervention|Vignette Based Intervention|Non Intervention Control Arm","Other: A short video intervention|Other: A vignette intervention","Research Foundation for Mental Hygiene, Inc.","Interventional","New York State Psychiatric Institute, New York, New York, United States",,"https://ClinicalTrials.gov/show/NCT04484207"
